gene,state,seed,BS,BF,Pon,nll,nll_per_cell,n_cells,mmax,boundary_mass,train_best_mean_nll,kon,koff,ksyn,k01,k10,k12,k21,analysis_role,log10_BS,log10_BF
Bccip,2,303,2.504503609674597,1.1251986697906124,0.0732817840011744,895.9709297772918,2.201402775865582,407,70,-9.830608908618298e-18,2.777697630751873,1.2141756257352323,15.354411537969384,38.45517912127361,,,,,stable_K2,0.3987216619630972,0.05122921007071553
Bckdk,2,202,3.006950528820287,1.2097177025455683,0.1010369185894416,992.5142280996388,2.4148764673957146,411,70,-1.184212941348092e-17,2.772897381189308,1.3456811826436814,11.973026488081988,36.00229832991744,,,,,stable_K2,0.4781262830266563,0.08268403599373775
Bclaf1,2,101,3.6229267903937306,0.9695504619019504,0.0860623906585442,880.6294763050262,2.373664356617321,371,70,6.938371769876458e-16,2.7720772594232392,1.060849725399272,11.26566964365048,40.81469636370672,,,,,stable_K2,0.5590595581997966,-0.013429582402456511
Bicc1,2,101,4.143332058906188,0.7163064685144724,0.0736126672853923,922.7898259103144,2.2507068924641818,410,70,1.881855758123172e-15,2.7720772594232392,0.7732256726951005,9.730750085951795,40.31772878832822,,,,,stable_K2,0.6173497403394976,-0.1449011269825799
Bid,2,101,3.6099899870608168,0.8379532144022688,0.083469792812563,917.0038144162668,2.2311528331296038,411,70,5.2651276104068776e-17,2.7720772594232392,0.9142668815834254,10.03899957298263,36.24068793857512,,,,,stable_K2,0.5575059973155566,-0.07678022873743984
Blvrb,2,101,5.945476773498328,0.618819999690351,0.0607542184777785,1005.1361003704257,2.469621868232004,407,72,1.2528381816396232e-10,2.7720772594232392,0.6588477817674504,10.185630153677147,60.55842750213169,,,,,stable_K2,0.7741866868431957,-0.20843565874965797
Bmp1,2,202,7.467779846390854,1.1093275754976857,0.087797989561126,1282.5278459914202,3.1511740687749885,407,138,-3.675408945991736e-17,2.772897381189308,1.2160985865005622,12.63499974250958,94.35539643626666,,,,,stable_K2,0.8731915062632558,0.04505980874992023
Bms1,2,101,3.0349765484343854,0.813417059494373,0.0804016271575663,740.0973142736257,1.973592838063002,375,70,1.932072597857263e-18,2.7720772594232392,0.8845351226320036,10.116922856552224,30.704623611955817,,,,,stable_K2,0.48215533958759,-0.08968672353878523
Bop1,2,303,3.830115188443414,0.5991885828177159,0.0648747764974027,733.3660833767331,1.982070495612792,370,70,1.0732404382036404e-17,2.777697630751873,0.6407575881371269,9.236079338812123,35.37524775725272,,,,,stable_K2,0.5832118353140795,-0.22243647045295648
Bsg,2,202,29.057691143633814,1.9451066933732395,0.1828297086366205,1980.1642206189445,4.794586490602771,413,440,1.1338411830253314e-20,2.772897381189308,2.3802954095749045,10.638898392816436,309.1418236069622,,,,,stable_K2,1.4632611033062792,0.28894342832106085
Btg1,2,303,3.35171218041592,0.8559141412053574,0.0645281174124496,879.642014464974,2.161282590823032,407,81,-3.952073171993657e-18,2.777697630751873,0.9149544279597872,13.264204435634475,44.45779557044296,,,,,stable_K2,0.5252667176479898,-0.06756979825613871
Bub3,2,303,4.476184262704796,0.9926963585270188,0.0774784935644464,1095.046607854168,2.703818784825106,405,97,-8.06454526830696e-18,2.777697630751873,1.0760685269686636,12.81254078205968,57.35129341391895,,,,,stable_K2,0.6509079560128777,-0.003183571224667438
Bud31,2,101,3.30235008394641,1.4020339852796515,0.0927361596033422,1034.50127169715,2.529342962584719,409,70,2.522679139096504e-14,2.7720772594232392,1.5453431767617665,15.118525408821458,49.92666365296748,,,,,stable_K2,0.5188231111638878,0.1467585410489927
Bysl,2,202,3.07383432326897,0.7935043037099425,0.0803619246250728,849.902316284589,2.0882120793233145,407,70,-6.163482205408839e-18,2.772897381189308,0.8628441176562192,9.874132649411056,30.351447850270475,,,,,stable_K2,0.4876804557372083,-0.10045071343035404
Cald1,2,202,23.5472902194198,1.8452990991037157,0.1572813013181539,1853.4503758832811,4.487773307223441,413,327,1.1823926761561423e-16,2.772897381189308,2.189697584722012,11.732476039036465,276.2680182835805,,,,,stable_K2,1.3719409364982464,0.2660667697158913
Calm1,2,101,8.186100799338933,2.395629360735501,0.1208500776773919,1545.2658740120044,3.741563859593231,413,160,1.9922106323637842e-13,2.7720772594232392,2.7249383750231555,19.823151186800303,162.2743137756825,,,,,stable_K2,0.9130770880159641,0.3794196271402031
Calr,2,101,18.40024523098448,1.6877876320879224,0.1172471034491653,1745.4685763226566,4.226316165430162,413,273,6.482445934606998e-14,2.7720772594232392,1.9119593248377729,14.395132864153814,264.87397483303414,,,,,stable_K2,1.264823611148321,0.2273178001008957
Calu,2,101,9.517862311861206,1.8967448438888688,0.0978512645828683,1553.3465651808128,3.761129697774365,413,165,4.666918845360336e-12,2.7720772594232392,2.102474646835104,19.38395841867279,184.4938472877705,,,,,stable_K2,0.9785394178790634,0.27800891215160184
Cant1,2,101,2.52215764026212,0.8146862749608278,0.0765099545025038,793.8499588967829,1.936219411943373,410,70,-9.792780146490716e-18,2.7720772594232392,0.882181977957267,10.648108213607248,26.85620748528736,,,,,stable_K2,0.40177222742199536,-0.08900960019725729
Canx,2,101,7.552694245278644,1.9510802772821425,0.1004940253920846,1466.3589113586431,3.5505058386407824,413,137,3.1588859640715428e-12,2.7720772594232392,2.169057607574643,19.41488829480025,146.63471509686553,,,,,stable_K2,0.8781019035670106,0.29027513882732525
Capg,2,202,9.242073936427133,1.3312196438569768,0.0876374521274145,1441.1377535948018,3.5064178919581552,411,132,6.363854928037634e-11,2.772897381189308,1.459090629006054,15.19007697669644,140.38781451864804,,,,,stable_K2,0.9657694385447154,0.12424971756724927
Capns1,2,101,6.500664356728516,1.6393368685683096,0.090380396667293,1358.0960247397786,3.288368098643532,413,127,3.2147172405531056e-14,2.7720772594232392,1.802222448331182,18.13819068091736,117.9102896549848,,,,,stable_K2,0.8129577430608945,0.21466820624142569
Capza2,2,101,2.667191366260176,1.36498151594974,0.0946316525373438,925.0539931943848,2.250739642808722,411,70,-1.332179911545483e-18,2.7720772594232392,1.507653232825264,14.42415385709434,38.47197863325044,,,,,stable_K2,0.42605417666823103,0.13512677036916776
Cast,2,303,3.1062126575792064,0.8436257085207838,0.0651998537244801,827.2957365807291,2.160041087678144,383,75,7.29923168119385e-18,2.777697630751873,0.9024663848010744,12.939073637891203,40.19151431136709,,,,,stable_K2,0.4922311850859308,-0.07385019410728892
